ingestion_time,api_time,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,geo_altitude,on_ground,velocity,speed_kmh,true_track,vertical_rate,squawk,spi,position_source,region,baro_altitude_ft,geo_altitude_ft,altitude_band,aircraft_location_wkt
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,7020a6,BBC395,Bangladesh,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,90.263,23.7082,2628.9,2682.24,False,107.46,386.856,239.51,8.45,,False,0,India,8625.000276,8800.0002816,"0-5,000 m",POINT(90.263 23.7082)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,7020b8,UBG115,Bangladesh,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,90.4601,23.7685,868.68,777.24,False,82.14,295.704,139.83,4.88,,False,0,India,2850.0000912,2550.0000816,"0-5,000 m",POINT(90.4601 23.7685)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,7020b4,UBG333,Bangladesh,2026-05-25 13:22:19+00:00,2026-05-25 13:22:21+00:00,88.6955,23.0628,9745.98,10355.58,False,228.13,821.268,272.58,4.23,,False,0,India,31975.0010232,33975.0010872,"5,000-10,000 m",POINT(88.6955 23.0628)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,8018ca,IGO717,India,2026-05-25 13:18:21+00:00,2026-05-25 13:18:25+00:00,76.9282,25.0408,10668.0,11330.94,False,245.5,883.8000000000001,178.32,-0.33,,False,0,India,35000.00112,37175.0011896,"10,000-12,000 m",POINT(76.9282 25.0408)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,7105b2,SVA835,Saudi Arabia,2026-05-25 13:22:13+00:00,2026-05-25 13:22:14+00:00,75.8805,13.719,12192.0,12931.14,False,260.61,938.196,302.34,-0.33,,False,0,India,40000.00128,42425.0013576,"12,000+ m",POINT(75.8805 13.719)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,8017e5,IGO405K,India,2026-05-25 13:18:49+00:00,2026-05-25 13:21:37+00:00,73.7146,19.3397,4366.26,4518.66,False,145.73,524.6279999999999,81.27,-3.58,,False,0,India,14325.0004584,14825.0004744,"0-5,000 m",POINT(73.7146 19.3397)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,8017e4,IGO315,India,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,75.2459,26.6745,11887.2,12611.1,False,242.82,874.152,24.94,0.0,,False,0,India,39000.001248,41375.001324000004,"10,000-12,000 m",POINT(75.2459 26.6745)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,8017f3,IGO601P,India,2026-05-25 13:22:20+00:00,2026-05-25 13:22:21+00:00,77.1881,26.6721,9928.86,10507.98,False,236.91,852.876,357.26,-16.58,,False,0,India,32575.001042400003,34475.0011032,"5,000-10,000 m",POINT(77.1881 26.6721)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,896210,UAE528,United Arab Emirates,2026-05-25 13:22:19+00:00,2026-05-25 13:22:19+00:00,69.9632,20.6979,10058.4,10728.96,False,252.16,907.776,108.07,0.0,6206,False,0,India,33000.001056,35200.0011264,"10,000-12,000 m",POINT(69.9632 20.6979)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,896218,UAE546,United Arab Emirates,2026-05-25 13:21:08+00:00,2026-05-25 13:21:08+00:00,71.7824,18.1602,10668.0,11361.42,False,252.89,910.404,119.22,0.0,,False,0,India,35000.00112,37275.0011928,"10,000-12,000 m",POINT(71.7824 18.1602)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,70c10d,OMS403,Oman,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,70.5863,22.8896,11269.98,12016.74,False,237.84,856.224,85.66,0.0,4730,False,0,India,36975.0011832,39425.0012616,"10,000-12,000 m",POINT(70.5863 22.8896)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,780a67,CPA665,China,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,85.5659,25.5078,10972.8,11643.36,False,235.88,849.168,281.06,0.0,,False,0,India,36000.001152,38200.0012224,"10,000-12,000 m",POINT(85.5659 25.5078)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,8005d5,SEJ553,India,2026-05-25 13:22:22+00:00,2026-05-25 13:22:22+00:00,82.9316,26.409,3733.8,3901.44,False,181.1,651.96,53.78,-9.1,,False,0,India,12250.000392,12800.0004096,"0-5,000 m",POINT(82.9316 26.409)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,702f0f,AMB5,Bangladesh,2026-05-25 13:19:29+00:00,2026-05-25 13:19:29+00:00,90.3984,23.8521,,,True,3.09,11.124,343.12,,,False,0,India,,,,POINT(90.3984 23.8521)
