ingestion_time,api_time,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,geo_altitude,on_ground,velocity,speed_kmh,true_track,vertical_rate,squawk,spi,position_source,region,baro_altitude_ft,geo_altitude_ft,altitude_band,aircraft_location_wkt
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,801641,AXB1982,India,2026-05-25 13:30:42+00:00,2026-05-25 13:30:42+00:00,82.436,24.2109,8290.56,8724.9,False,233.3,839.8800000000001,192.35,4.23,,False,0,India,27200.0008704,28625.000915999997,"5,000-10,000 m",POINT(82.436 24.2109)
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,801645,AIC3PX,India,2026-05-25 13:31:14+00:00,2026-05-25 13:31:15+00:00,77.6984,28.5414,1859.28,1844.04,False,136.95,493.02,254.08,-3.58,,False,0,India,6100.0001952,6050.0001936,"0-5,000 m",POINT(77.6984 28.5414)
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,80162f,AIC9NV,India,2026-05-25 13:31:10+00:00,2026-05-25 13:31:10+00:00,76.5357,30.4918,4693.92,4861.56,False,194.04,698.544,171.46,10.73,,False,0,India,15400.0004928,15950.000510400001,"0-5,000 m",POINT(76.5357 30.4918)
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,80163d,IGO154H,India,2026-05-25 13:30:54+00:00,2026-05-25 13:30:54+00:00,88.7086,26.634,10972.8,11658.6,False,217.39,782.6039999999999,278.44,0.0,,False,0,India,36000.001152,38250.001224,"10,000-12,000 m",POINT(88.7086 26.634)
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,80163c,IGO6390,India,2026-05-25 13:27:55+00:00,2026-05-25 13:27:55+00:00,77.1144,28.5666,,,True,4.12,14.832,106.88,,,False,0,India,,,,POINT(77.1144 28.5666)
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,801648,IGO449E,India,2026-05-25 13:31:12+00:00,2026-05-25 13:31:14+00:00,77.5338,27.9012,8107.68,8519.16,False,253.21,911.556,144.76,5.85,,False,0,India,26600.000851200002,27950.0008944,"5,000-10,000 m",POINT(77.5338 27.9012)
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,801657,AIC8QL,India,2026-05-25 13:31:14+00:00,2026-05-25 13:31:14+00:00,77.2031,28.5679,777.24,662.94,False,65.87,237.13200000000003,271.34,-3.25,,False,0,India,2550.0000816,2175.0000696,"0-5,000 m",POINT(77.2031 28.5679)
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,801618,SDG464,India,2026-05-25 13:31:14+00:00,2026-05-25 13:31:14+00:00,69.6457,23.2641,609.6,525.78,False,83.9,302.04,213.5,4.88,6302,False,0,India,2000.000064,1725.0000552,"0-5,000 m",POINT(69.6457 23.2641)
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,801623,AXB2893,India,2026-05-25 13:31:12+00:00,2026-05-25 13:31:13+00:00,86.4121,24.5977,10363.2,11018.52,False,221.72,798.192,222.65,0.33,,False,0,India,34000.001088000005,36150.001156800005,"10,000-12,000 m",POINT(86.4121 24.5977)
2026-05-25 13:31:21.983914+00:00,2026-05-25 13:31:15+00:00,80161d,AKJ594F,India,2026-05-25 13:31:09+00:00,2026-05-25 13:31:10+00:00,77.168,27.0679,7147.56,7513.32,False,201.38,724.968,357.22,-5.53,,False,0,India,23450.000750400002,24650.0007888,"5,000-10,000 m",POINT(77.168 27.0679)
